title,link,skills
Just-a-Minute local multiplayer web game," https://github.com/TomJB1/Just-a-Minute",programming
Physics Research Project on dark energy,/assets/download/dark-energy.pdf,report-writing
"EPQ - How and to what extent may quantum computing technology be used in the future? ","/assets/download/EPQWriteup.pdf ","report-writing time-management "
Astrophysics society,,leadership teamwork
Work experience with BPCollins IT department,,work-experience
Scouts young leader volunteering,,leadership teamwork
